Word:,Definition:
AB intestate,This Latin term refers to the laws that say what happens to property owned by someone who dies without a valid will.
AB trust,A trust where married couples may hold property to minimize or eliminate estate taxes. The trust property and income do not pass to the named beneficiaries until both spouses have died.
abandonment,"1. When a parent leaves a child without enough care, supervision, support, or parental contact for too long. 2. Leaving a marriage without planning to return, which is grounds for divorce in many states."
abatement,A rent or tax abatement is a reduction in the amount of rent or tax due.
abduction,Taking someone away by force or through deception; taking a child away without permission.
abet,"To help someone commit or plan a crime, including helping a criminal escape from the authorities."
abrogate,To repeal or cancel an old law using another law or constitutional power.
absolute disparity,"A calculation used to claim that a jury pool did not fairly represent the demographics of the community. For example, if 51% of the community is Hispanic, and 10% of the jury is Hispanic, the absolute disparity would be 41%."
absolute divorce,"A final judgment, or decision by the court, that ends the marriage and allows the former spouses to remarry. It ends all marital rights, including the right to inherit from the other spouse."
abstract of judgment,"A summary of a court decision that says how much money is owed, who owes the money, and to whom the money is owed. A creditor may use an abstract of judgment to place a lien or legal claim on the property until the debt is paid back."
abstract of title,"A summary of ownership of a piece of real property that also includes related debts, such as mortgages, property taxes, or liens."
abstract,A summary of what a court or government agency does.
abuse of discretion,"A higher court may overturn a lower court's decision if it finds that its decision was entirely incorrect, illegal, or made without supporting evidence."
abusive discharge,"When the dismissal of an employee, who has not violated any law or term of his/her employment contract, is considered a violation of anti-discrimination laws."
access (disability),"The ability of people with disabilities to: enter and move around buildings, and enjoy equal access to transportation, employment, communication in the workplace, housing, etc."
accessory,"A person who helps someone else commit a crime before or after the crime, but is not usually at the scene of the crime."
accomplice,A person that helps someone else commit a crime. Can be on purpose or not.
accrual,"The increase over time of the amount of something, usually money. Example: Due to the accrual of missed child support payments, they now owe $10,000. "
accusatory instrument,A prosecutor's statement claiming a defendant has violated the law.
accused,The person that is charged with a crime and has to go to criminal court.
acknowledge,"To say, swear, or affirm to a notary public, clerk, or other officer that a document with your signature was in fact signed by you."
