Word:,Definition:
a/k/a,A short way of saying “also known as” – Example: Sean Doherty a/k/a Shawn Dougherty
ab initio,"Latin for ""from the beginning."""
abandon,to leave with no intention to return.
absolute divorce,The final ending of a marriage. Both parties are legally free to remarry.
adjudicatory hearing,This is a trial to determine whether or not you are guilty.
administrative decision,"The published decision of a hearing officer after an administrative agency conducts a hearing. For example, a MD Human Relations Commission hearing examiner’s decision."
administrator,A person appointed by the court to pay the debts of a deceased person and distribute the remaining property according to law.
advance sheet,Paperback publication of recent judicial opinions not yet printed in bound volumes.
affidavit,A written statement made under oath.
affidavit of support,A written statement prepared by a local child support office to record the agreement of parents regarding child support payments.
affirmation,"A solemn statement or declaration (or pledge), made under penalty of perjury and without taking an oath. An affirmation does not include a reference to a supreme being or to swearing. It is a substitute for an oath for a person whose conscience does not permit her or him to swear."
alias summons,Another summons when the original is not served on the defendant.
alimony,A payment of support provided by one spouse to the other.
alternate juror,"Sometimes a juror has to be removed from the jury before the end of a trial, for example, if the juror becomes ill. To avoid having to retry the case, extra or “alternate” jurors are selected to hear the case with the jury. Any alternate who does not become a member of the jury during the trial is excused when the jury begins deliberations. An alternate juror must comply with the same requirements that are placed on other jurors. In some counties, grand juries also have alternate jurors."
alternative dispute resolution,"ADR is the general term that refers to several methods of settling a legal dispute outside of official court proceedings. Examples are mediation, arbitration, settlement and informal dispute settlement."
annotation,"This refers to published comment on the law. For example, you will find these comments in the same books that contain the actual statutes (laws). Cases, statutes, and regulations are often annotated. An annotation may provide you with historical data, case excerpts, cross-references or cites to law journal articles."
annulment,A court’s decision that a marriage is void; it never legally existed. It is available only under certain limited circumstances.
appeal,A legal action where the losing party requests that a higher court review the decision.
appellant,Party in a lawsuit who takes an appeal.
appellee,Party in a lawsuit against whom an appeal is taken.
arbitration,"Arbitration is like a ""private trial"" and requires both parties to submit the dispute to one or more neutral people, with the goal of reaching a final and binding decision."
assignment,"A transfer to another of all or part of one's property, interests, or rights."
attachment,Placing defendant's property in custody of the law before final determination of the lawsuit.
attachment of real estate,"A method of collecting the judgment by which the defendant' s real estate is seized. It may then be ordered sold, with the net proceeds used to pay the plaintiff."
attorney general,"The elected official who is the chief legal officer for the State of Maryland. The Attorney General's Office is the legal advisor to Maryland State departments, boards, commissions, officials and institutions. The Office also represents Maryland before State appellate courts and federal courts."
bailiff,"The court officer responsible for keeping order in the courtroom during court proceedings. Among other duties, a bailiff attends to the jury when it is deliberating."
bona fide,"In good faith, genuine, without fraud."
brief,Written argument presented to a court for the purpose of “informing” and “persuading”.
case,A dispute which has been taken to court; a lawsuit.
case law,Decisions of federal and state courts about how laws should be applied in specific fact situations. Opinions are reported in various volumes.
cause of action,A point of controversy; basis of a legal action.
certified,A copy is “certified” when the keeper of the records puts a stamp or seal on the copy and “certifies” that it is identical to the original.
certiori,"A writ issued by a superior to an inferior court, etc. requiring the return of the record and proceedings for review."
challenge,"As related to jury selection, an objection made by a party to either the whole jury panel or to a particular person on the jury panel."
challenge for cause,"One of the two kinds of challenges (or objections) that can made to a jury panel or to a particular individual on the jury panel. In a challenge for cause, there is a legal reason for the challenge and that reason is given."
charter,The fundamental law of a municipality or other local government; analogous to a constitution.
child support guidelines,Maryland has child support guidelines which must be followed in awarding child support. 
child in need of assistance," If Child Protective Services receives a report that a child is in need of assistance, then the agency will conduct a report to determine if the child has been abused or neglected."
cina," If Child Protective Services receives a report that a child is in need of assistance, then the agency will conduct a report to determine if the child has been abused or neglected."
citation,"A reference to a particular authority for a point of law. For example, a citation of case includes the title, volume, and page of the report in which the opinion appears."
citator,Publication used to trace the history and validity of a legal case by tabulation of some kind.
civil action,A case in which a person(s) (the plaintiff(s)) sues another person(s) (the defendant(s)).
closing arguments,"The part of a trial after all the evidence has been submitted (and in a jury trial, after the judge has instructed the jury) when the attorney for each party argues that party’s position as it relates to the evidence (and in a jury trial, the judge’s instructions). Closing arguments are not evidence."
code,Laws in force in a particular jurisdiction.
code of federal regulations,Contains regulations made by federal administrative agencies such as the Department of Health and Human Services. The regulations governing the operation of the agency.
collusion,An agreement between two or more persons that one of the parties brings false charges against the other. 
common law,It is the part of the law that is generally based upon (1) court decisions or (2) long standing practices. This is different from the law created by acts of legislatures such as the Maryland General Assembly or Congress.
common law marriage,A common law marriage comes about when a man and woman who are free to marry agree to live together as husband and wife without the formal ceremony.
complainant,"The one who files the suit, same as plaintiff."
complaint,Legal paper that starts a case; the written statement by the plaintiff about about the legal claims against the defendant.
concurring opinion,"Not a majority or dissenting opinion. A concurring decision is written by a judge who agrees with the decision, but not altogether with the legal reasoning."
condonation,The act of forgiving one's spouse who has committed an act of wrongdoing that would constitute a ground for divorce. 
confession of judgment,"Written consent of tenant that the landlord may have judgment against tenant automatically, this means that there will not be legal proceedings to determine whether the case has merit."
constitution,The fundamental law of a state or a nation. It creates the branches of government and identifies basic rights and obligations.
contempt,Failure to follow a court order.
continuance,A request to postpone the case to another date. Usually you need a good reason to request that the case be rescheduled.
contract,A written or oral agreement between two or more parties.
coroborative witness,"A person who testifies for you and backs up your story. If you are asking the court to grant a divorce, you must bring to the hearing a witness who can corroborate your grounds for divorce. "
corporation,This is one of the ways that a business can be organized. Maryland law allows for the creation of a legal entity that is separate from its owners.
counsel,Attorney; lawyer.
counterclaim,"After the plaintiff files a complaint, the defendant can now make a claim against the plaintiff. "
criminal action,A case in which the state prosecutes a person who is charged with a public offense.
cross examination,The questioning of a witness by the opposing party’s lawyer.
cross-claim,When one defendant sues one of the other defendants in the same lawsuit. 
custody,Refers to the legal arrangements about the person with whom a child will live and how decisions about the child will be made. Custody has two parts: legal and physical.
d/b/a,"A short way of saying “doing business as” – Example: Attleborough, Levin and Crawdad LLC d/b/a The Virgo Cafe"
damages,The estimated money equivalent for a loss or injury.
decision,"The result reached by a court in resolving a dispute before it; noted by such terms as “affirmed”, “reversed”, “modified”, etc."
default judgment,A judgment awarded in favor of the plaintiff when the defendant fails to appear.
defendant,The person (or persons) a case is brought against.
deliberations,"As related to a jury, the process a jury takes to come to a decision."
deposition,"An important tool used in pretrial discovery where a person gives his or her deposition when he or she, accompanied by an attorney, answers questions put by the other side's attorney regarding the facts of the case."
de bene esse,"De bene esse is Latin for ""of well being."" It means that deposition is done for the time being, or conditionally."
detinue,This is a type of legal lawsuit. It is common in disputes between sellers and buyers of movable goods. 
digest,"An index to case law arranged by subjects, and case name including brief paragraphs giving the holding of the courts."
direct examination,"The first questioning of a witness, which is done by the party that called the witness to testify."
discovery,This is the process where each side is allowed to investigate the other side’s case before the trial or hearing. 
discriminate,"To treat differently, to make a distinction in favor of or against a person or thing."
disposition hearing,This is a sentencing proceeding or the hearing where your punishment is decided.
disqualification,"As related to jury service, one of the reasons established by law under which a person who is qualified for jury service is nonetheless not permitted to serve on a jury."
dissenting opinion,An explicit disagreement of one or more judges of a court with the decision of the majority of the judges.
dissolution,The legal end of a marriage.
distraint,Seizure of personal property.
distress,The procedure of taking possession of the personal property of another to pay a debt which he owes.
docket,The calendar of hearings that will be held in the court. 
docket number,Number designation assigned to each case filed in a particular court.
doorman,The grand jury officer who calls witnesses and ensures that only authorized people are in the grand jury room during hearings and deliberations.
escrow,An item being held by a third person (a neutral person) who holds it until the fulfillment of some condition.
evict,To eject a tenant by a judicial proceeding.
evidence,Testimony or an exhibit that is used to persuade the jury (or judge in a case tried without a jury) to decide the case in favor of one side or the other.
exculpatory clause,Provision or clause which excuses someone from responsibility
excusal,"As related to jury service, being released from jury service for certain reasons established by law, specifically extreme inconvenience, public necessity or undue hardship."
executor,A person named in a will to dispose of the estate according to the directions in the will.
exemption,"As related to jury service, being released from jury service for certain reasons established by law."
exhibit,A document or other tangible object which is admitted into evidence to prove or disprove an issue in dispute.
expert witness,A person who is qualified by special knowledge or experience to give an opinion on the matter in dispute.
fair market value,The amount for which an item can be sold on the open market by a willing seller to a willing buyer.
federal register,"Publication containing new, adopted and proposed federal regulations."
filing,Officially giving the Clerk of Court your legal papers and having them recorded.
foreclosure,"A court action, when the mortgagor fails to make payments of the mortgage. A foreclosure terminates the mortgagor's rights to the property."
foreperson,"The member of the grand jury or trial jury appointed by the judge (or, in some grand juries, elected by the grand jury) to act as the leader of that jury."
garnishment,A legal proceeding that takes money or property from a person to satisfy a debt.
garnishment of property,A procedure whereby the Court has the defendant's bank account seized and the money paid to the plaintiff to satisfy the judgment.
garnishment of wages,A procedure whereby a portion of the defendant's wages are deducted regularly and paid to the plaintiff to satisfy a judgment.
generous juror program,A program offered by some Maryland counties in which a juror can donate the per diem to the local department of social services. The money is used by the department for the children it serves.
grand jury,"A group of 23 citizens of this State, randomly selected according to law, whose duty is to hear evidence and determine whether there is probable cause to believe that an individual committed a crime. "
