bienes abandonados,"Bienes que dejó un inquilino a propósito, y aparentemente su dueño anterior (o inquilino) no tiene intención de volver para llevárselos."
divorcio absolute,La terminación definitiva de un matrimonio. Ambas partes tienen el derecho legal de volver a casarse.
maltrato (de un menor),"Maltrato (de un menor): Causar daño físico, sexual o mental a un menor de edad, ya sea intencionalmente o por descuido."
cláusula de vencimiento anticipado,Una disposición (condición) de un contrato o pagaré que exige el pago completo de lo adeudado si ocurre cierto acontecimiento (como no pagar las cuotas puntualmente).
padre reconocido,"El padre biológico de un menor que no está casado con la madre pero ha firmado una declaración voluntaria de paternidad o un acuerdo con la madre, o ha dicho que él es el padre. Un padre reconocido tiene derechos de paternidad y el deber de mantener a su hijo."
acción legal,"En el tribunal, cuando una persona demanda a otra para (a) defender o hacer cumplir un derecho; (b) impedir que ocurra algo malo o arreglar algo; o (c) castigarlo por haber cometido un delito."
estado active,Un caso judicial está en estado activo cuando todavía no se llegó a un “acuerdo” ni se “decidió”.
ad litem,"“Para este caso judicial"". Viene del latín. Un tutor ad litem es una persona que ayuda a otra persona durante un caso."
dictamen,La decisión del juez en un caso o una acción.
administrador,"la persona (en general el cónyuge, compañero doméstico o pariente cercano) que el tribunal nombra para administrar el patrimonio de una persona que fallece sin dejar un testamento. El administrador también se llama el representante personal del patrimonio."
admissible,Un término que se usa para describir las pruebas que pueden tener en cuenta un jurado o un juez en casos civiles o penales.
permiso de reingreso,Una persona que se encuentra en EE. UU. sin una visa y a quien se permite dejar el país en forma temporal sin que se cancele su solicitud mientras esté afuera del país. 
declaración jurada de paternidad,Una declaración escrita firmada bajo juramento por la madre y el padre de un niño nacido fuera del matrimonio y que establece quién es el padre. 
declaración jurada de publicación,"Una declaración escrita hecha por alguien que jura que es cierta ante una persona autorizada legalmente, como un juez o un notario público."
declaración jurada,"Una declaración escrita en la que alguien jura ante una persona legalmente autorizada, como un juez o un notario público."
defensa afirmativa ,Cuando un acusado o persona que responde a un caso civil tiene una razón para ser declarado inocente o “no culpable” y le ofrece al tribunal nuevas pruebas para demostrarlo. La defensa tiene que probar lo que dice (llamado “carga de la prueba”). La defensa tiene que explicar esta defensa en la respuesta.
acuerdo,"Un entendimiento entre dos o más personas sobre un asunto en particular, que en general reseña los deberes, derechos y beneficios de cada persona. "
pensión alimenticia; manutención del cónyuge,Dinero que el tribunal le ordena pagar a un cónyuge o ex cónyuge.
manutención del cónyuge,Dinero que el tribunal ordena a un cónyuge pagar a su excónyuge.
alegato,Una declaración o reclamo que se hace pero que todavía no se ha probado si es verdadero o falso.
alegar,"Decir, declarar o acusar diciendo que algo es verdad aunque no se haya comprobado aún."
padre alegado, Un hombre que puede ser el padre biológico de un menor en una acción legal para revocar la paternidad.
métodos alternativos para resolver conflictos (ADR),Métodos para resolver conflictos sin actuaciones oficiales del tribunal. Entre estos métodos se cuentan la mediación y el arbitraje.
enmendar,Agregar o cambiar un reclamo que se ha presentado en el tribunal.
amnistía,"Perdón dado a un grupo de individuos por el gobierno, en general antes de un juicio. "
anulación,"Una acción legal que dice que su matrimonio nunca fue válido legalmente debido a un defecto mental, incesto, bigamia, ser demasiado joven para dar consentimiento, fraude, coerción o incapacidad física."
anónimo,Cuando se mantiene en secreto el nombre de alguien.
respuesta,Una declaración que escribe un demandado para responder a una demanda civil y que explica qué defensa usará.
apelar,"Disputar una decisión tomada por una escuela, agencia o tribunal. "
apelante,La persona que pierde al menos una parte de un caso que le pide a un tribunal de mayor instancia (llamado “tribunal de apelación”) que revise la decisión y que diga si fue correcta. Esto se llama “apelar”. La persona que apela se llama el “apelante”. La otra persona se llama el “apelado”.
comparecencia,Ir al tribunal. O un documento legal que dice que participará en el proceso judicial. 
argumento,Una presentación que resume los hechos y lo que dice la ley con respecto a un asunto.
lectura de cargos,"Cuando (a) se lleva a una persona a quien se acusa de haber cometido un delito al tribunal; (b) se le informa sobre los cargos; y (c) se le pide que se declare ""culpable"" o ""no culpable""."
atrasos o mora,Monto de manutención de los hijos que está atrasado o sin pagar. Un padre que está atrasado en sus pagos “está en mora”.
arresto,La captura legal de una persona acusada de cometer un delito.
activos,"Propiedad de cualquier tipo, como efectivo, cuentas financieras, bienes inmuebles y bienes personales."
asignación de derechos de manutención,Cuando una persona que recibe asistencia pública (dinero del gobierno) acepta darle al estado cualquier pago por manutención de los hijos que reciba en el futuro. La persona recibe dinero y otros beneficios del estado. Así que el estado pueda usar parte de la manutención de los hijos para pagar el costo de esa asistencia pública.
orden de asignación,"Una orden judicial (después de una petición) que dice que un deudor del fallo tiene que asignar ciertos derechos al acreedor del fallo. Útil para pagos que el deudor del fallo recibiría normalmente, como un alquiler pagado por inquilinos, dinero del gobierno federal, comisiones de ventas, pagos de regalías, cuentas a cobrar de una empresa, o cuotas para el pago de deudas a su favor (también llamados “pagarés”) o fallos."
designación,Elegir a alguien para que haga algo.
suicidio asistido,"Cuando alguien ayuda a otra persona que tiene una enfermedad o discapacidad terminal a cometer suicidio. En la mayoría de los estados de EE. UU., el suicidio asistido está prohibido por ley."
asilado,Un extranjero que llega a EE. UU. y pide protección porque sería peligroso que volviera a su país de origen. 
asilo,Estado legal asignado a veces a un extranjero que llega a EE. UU. y pide protección porque sería peligroso que volviera a su país de origen. 
adjunto,Documento que acompaña a papeles judiciales para dar más información.
intento,"Iniciar, pero no completar, un delito, como intento de asesinato, robo o incendio intencional. Los intentos de delitos en general se castigan menos severamente que los delitos cometidos de verdad."
atestiguar/prestar testimonio,"Confirmar, oralmente o por escrito, que algo es cierto. "
abogado del caso,El abogado que aparece en los registros del caso como el representante de alguien.
peligro atrayente,"Una condición peligrosa en una propiedad del terrateniente que podría atraer y poner en peligro a los niños, como por ejemplo una alberca sin barda."
suspensión automática,"Una orden que suspende una acción; por ejemplo, cuando uno se presenta en quiebra, los acreedores tienen que dejar de tratar de cobrarle inmediatamente.  "
otorgamiento,"1. Un fallo o decisión final de un árbitro, jurado u otro funcionario autorizado.
2. La decisión de dar dinero a una persona o parte en un caso."
confiscación de fianza,Una orden judicial que permite al tribunal quedarse con el depósito de fianza porque el acusado no se hizo presente en el juzgado cuando debía.
aviso de fianza,Un documento legal del tribunal que dice que se dictará una orden de arresto a menos que el acusado vaya al juzgado o pague la fianza.
fianza,Un depósito de seguridad (en general dinero) que se da para liberar al acusado y asegurarse que se haga presente en el juzgado cuando debe.
guarda de banca,Una persona que está a cargo de la seguridad en el juzgado.
saldo adeudado,"La cantidad de dinero que se debe en una cuenta, hipoteca o pagaré en particular. Puede o no incluir intereses. "
embargo bancario,"Manera de hacer cumplir un fallo en contra de una persona que debe dinero. El dinero se saca de su cuenta corriente o de ahorro en un banco, sociedad de ahorros y préstamo, institución de ahorros o unión crediticia."
código de quiebras,"El nombre informal dado al Título 11 del Código de los Estados Unidos (11 U.S.C., secciones 101-1330), la ley federal de quiebras. "
tribunal de quiebras,Los jueces de quiebras en servicio activo regular en cada distrito; una unidad del tribunal de distrito.
quiebra,La manera legal en que una empresa o persona puede obtener ayuda cuando no puede pagar el dinero que debe. Pueden ir al tribunal de quiebras para deshacerse de sus deudas pagando solo parte de lo que deben. En estas audiencias hay jueces especiales de quiebras.
agresión física,Pegar u otra violencia física o control ilegal de una persona sin su permiso.
plan de intervención conductual,Un plan elaborado por una agencia educativa local (LEA) como parte del programa de educación individual (IEP) de un estudiante. El objetivo del plan es modificar la conducta violenta o destructiva del estudiante.
juicio de banca,Un juicio sin un jurado. El juez decide el caso.
orden de arresto desde el estrado,Una orden que da el juez (desde el “estrado”) para arrestar a una persona.
banca,"La silla y escritorio (no una banca) donde el juez se sienta cuando está en la sala del juzgado. A veces “banca” se refiere al juez mismo; por ejemplo, un ""juicio de banca"" quiere decir un juicio decidido solo por el juez, sin jurado. Y “acercarse a la banca” quiere decir acercarse al juez."
beneficiario,"Una persona u organización con derecho a recibir beneficios; por ejemplo, de un testamento, póliza de seguro de vida o agencia pública."
legar,Darle un bien personal a otro por medio de un testamento. Comparar con: otorgar.
legado,"Bien personal, no un bien inmueble, que se dona por medio de un testamento."
mejor interés del menor,"El criterio utilizado por los tribunales para decidir quién se hará cargo del menor. Los tribunales se fijan en ciertos factores como: la edad y salud del menor, los lazos emocionales entre el menor y sus padres, la capacidad de los padres para cuidar al menor, y los lazos que tiene el menor con su escuela, su hogar y la comunidad."
más allá de una duda razonable,La carga de la prueba en un juicio penal. Instruye al juez o jurado que solo se puede declarar culpable al acusado si uno está convencido de su culpabilidad “más allá de una duda razonable”. 
sesgo,"La predisposición de una persona que toma una decisión a favor o en contra de alguien o de un grupo particular de personas involucradas en un caso. El sesgo puede estar relacionado con una actitud discriminatoria, opiniones personales, negocios financieros o conocimiento personal de una una persona del caso."
conminar,La decisión de un juez antes de un juicio que dice que hay suficientes pruebas para tener un juicio.
de buena fe,"Sincero, real, sin fraude o engaño. Viene del latín “bona fide”."
caución,"Una escritura o documento legal que restringe a una persona o que hace que esa persona sea responsable por algo. En el tribunal, una caución es una declaración escrita que obliga a una persona a pagar dinero a otra persona en ciertas circunstancias."
fichar,"Lo que hace la policía cuando arresta a alguien. Incluye tomar las huellas digitales, fotografías, e información personal sobre la persona."
carga de la prueba,Cuando una persona en el caso tiene la responsabilidad de presentar más pruebas que la otra persona.
carga de prueba,"El nivel de prueba necesario para ganar un caso judicial. En una demanda civil, el demandante en general debe demostrar por ""preponderancia de las pruebas"" que todos los hechos necesarios para obtener un fallo a su favor están presentes y son probablemente ciertos. En un juicio penal, la carga de prueba es demostrar que el acusado es culpable “más allá de una duda razonable""."
ingreso forzado,Cuando alguien entra en un edificio o casa ilegalmente con la intención de cometer un robo u otro delito grave.
audiencia de calendario,"Una audiencia donde se programan muchos casos simultáneamente, y un juez considera cada uno de ellos en función de su estado específico."
calendario,Una lista de casos programados para un juzgado en particular.
encabezamiento,"Un título requerido en todos los documentos para la corte que indica el nombre e información de contacto del abogado, o de una parte sin abogado, el juzgado, el número de caso, el nombre del documento y los nombres de todas las partes involucradas en el caso. "
cuidado,"Atención, cautela. Una persona que ejerció un cuidado razonable no es responsable por lesiones causadas por lo que hizo. "
CASA,Sigla en inglés de Defensor Especial Nombrado por el Tribunal. Un voluntario que recibe capacitación especial para ayudar al tribunal en casos de dependencia de menores. Proporciona información a los jueces para ayudarles a tomar decisiones en el mejor interés del menor. 
expediente del caso,Una colección completa de todos los documentos presentados en un caso judicial.
precedentes judiciales,Derecho creado a partir de las decisiones anteriores tomadas por los jueces en casos similares.
número del caso,Número de identificación que el secretario del tribunal le da a un caso. Este número aparece en todos los documentos presentados en el caso. También se llama “identificación del caso”.
caso,Un juicio o disputa tramitada en el tribunal o por un método de resolución similar.
empleo doméstico casual,Trabajo periódico proporcionado por un individuo en una residencia privada.
causa,Algo que precede y hace que ocurra algo. 
cesar,"Parar, terminar."
copia certificada,"Una copia oficial de un documento del expediente del caso que se declara como verdadera, completa y copia fiel del documento original."
recámara,"La oficina del juez. En general, también donde trabaja el secretario del juez."
cambio de jurisdicción,Cuando se transfiere un caso civil o penal de la jurisdicción de un tribunal a otra.
testigo de carácter,Una persona que atestigua en el tribunal sobre el buen carácter y reputación de una persona en la comunidad. Este tipo de testimonio se puede usar en casos penales y civiles donde la honestidad o moralidad de una persona se encuentra en cuestión.
cargo,"En el derecho penal, cada cosa de que se lo acusa al acusado."
documento de cargo,"A veces llamado acusación o información, es una lista de cada uno de los cargos contra un acusado."
orden de prevención de secuestro de los hijos,Una orden judicial que limita dónde puede viajar un padre con sus hijos.
maltrato de menor,"Causar daño a un menor en forma física, sexual o emocional."
defensor de menores,Una persona nombrada por un juez para ayudar a un menor en un caso judicial. El menor puede ser un experto en bienestar de menores o un abogado.
evaluación de custodia de los hijos,"Una investigación sobre la salud, seguridad y bienestar de los hijos, en general en un caso de custodia o visitación."
mediación de custodia de los hijos,Una reunión guiada por un profesional especialmente capacitado para ayudar a los padres a tomar decisiones sobre el plan de crianza de sus hijos.
custodia de los hijos,Los derechos y las responsabilidades de los padres frente a su(s) hijo(s). Un plan de crianza tiene que indicar la custodia legal y custodia física que sean en el mejor interés de los menores. Este término también se usa con frecuencia para describir con quién viven los menores.
descuido de menores,No cuidar bien a un menor. El descuido puede ser físico o emocional.
servicios de protección infantil (CPS),"Una agencia estatal que investiga denuncias de maltrato y descuido de menores. Si CPS descubre maltrato o descuido, abrirá un caso de protección de menores, y un encargado del caso hará un plan para ayudar a la familia."
manutención de los hijos,"Dinero pagado por un padre que no tiene la custodia para ayudar a mantener a su hijo. La manutención de los hijos también puede incluir otros gastos, como el seguro médico de su hijo."
manutención de los hijos,"Dinero pagado por un padre no custodial para ayudar a mantener a su hijo. La manutención de los hijos también puede incluir otros gastos, como el seguro médico para su hijo."
tribunal de circuito (federal),"En el sistema federal, los tribunales de los 13 circuitos, de los cuales 11 cubren distintas áreas geográficas del país. "
tribunal de circuito (estatal),El tribunal de primera instancia principal en muchos estados. 
prueba circunstancial,Prueba indirecta; testimonio que no está basado en un conocimiento u observación personal directa de los hechos en disputa.
citación,Una orden o citatorio de un tribunal que indica los cargos o le informa al acusado que tiene que ir al juzgado y/o depositar una fianza.
citar,Referirse a una ley o decisión tomada en otro caso.
caso civil; demanda civil,Un proceso legal en el cual una persona (el demandante) demanda a otra (el demandado) por haberle causado lesiones o pérdidas. El demandante quiere que el demandado lo indemnice por sus pérdidas.
caso civil,Una demandaentre dos o más personas en un asunto privado que no es penal.
responsabilidad civil,"Una obligación legal, en general de pagar daños u otro pago dictado por el tribunal."
libertades civiles,"Derechos otorgados a la gente por la Constitución (principalmente por la primera enmienda) para poder expresarse, pensar, reunirse, organizarse, rendir culto o peticionar libremente, sin interferencia o restricciones por parte del gobierno."
derechos civiles; garantías civiles,"Derechos garantizados por la Declaración de Derechos Constitucionales de EE.UU. (U.S. Bill of Rights) y las enmiendas 13 y 14 de la Constitución de EE.UU., como el derecho al debido proceso y el tratamiento equitativo en virtud de la ley de todas las personas en lo que hace al goce de la vida, la libertad, la propiedad y la protección."
