Word:,Definition:,,,,,
bienes abandonados,"Bienes que dejó un inquilino a propósito, y aparentemente su dueño anterior (o inquilino) no tiene intención de volver para llevárselos.",,,,,
divorcio absoluto,La terminación definitiva de un matrimonio. Ambas partes tienen el derecho legal de volver a casarse.,,,,,
cláusula de vencimiento anticipado,Una disposición (condición) de un contrato o pagaré que exige el pago completo de lo adeudado si ocurre cierto acontecimiento (como no pagar las cuotas puntualmente).,,,,,
estado activo,Un caso judicial está en estado activo cuando todavía no se llegó a un “acuerdo” ni se “decidió”.,,,,,
ad litem,"“Para este caso"". Viene del latín. Un tutor ad litem es una persona que ayuda a otra persona durante un caso.",,,,,
admisible,Un término que se usa para describir las pruebas que pueden tener en cuenta un jurado o un juez en casos civiles o penales.,,,,,
declaración jurada,"Una declaración escrita en la que alguien jura ante una persona legalmente autorizada, como un juez o un notario público.",,,,,
defensa afirmativa ,Cuando un acusado o persona que responde a un caso civil tiene una razón para ser declarado inocente o “no culpable” y le ofrece al tribunal nuevas pruebas para demostrarlo. La defensa tiene que probar lo que dice (llamado “carga de la prueba”). La defensa tiene que explicar esta defensa en la respuesta.,,,,,
pensión alimenticia,Dinero que el tribunal le ordena pagar a un cónyuge o ex cónyuge.,,,,,
manutención del cónyuge,Dinero que el tribunal le ordena pagar a un cónyuge o ex cónyuge.,,,,,
alegar,"Decir, declarar o acusar diciendo que algo es verdad aunque no se haya comprobado aún.",,,,,
anulación,"Una acción legal que dice que su matrimonio nunca fue válido legalmente debido a un defecto mental, incesto, bigamia, ser demasiado joven para dar consentimiento, fraude, coerción o incapacidad física.",,,,,
anónimo,Cuando se mantiene en secreto el nombre de alguien.,,,,,
atrasos o mora,Monto de manutención de los hijos que está atrasado o sin pagar. Un padre que está atrasado en sus pagos “está en mora”.,,,,,
quiebra,La manera legal en que una empresa o persona puede obtener ayuda cuando no puede pagar el dinero que debe. Pueden ir al tribunal de quiebras para deshacerse de sus deudas pagando solo parte de lo que deben. En estas audiencias hay jueces especiales de quiebras.,,,,,
código de quiebras,"El nombre informal dado al Título 11 del Código de los Estados Unidos (11 U.S.C., secciones 101-1330), la ley federal de quiebras.",,,,,
tribunal de quiebras,Los jueces de quiebras en servicio activo regular en cada distrito; una unidad del tribunal de distrito.,,,,,
orden de arresto desde el estrado,Una orden que da el juez (desde el “estrado”) para arrestar a una persona.,,,,,
mejor interés del niño,"El criterio utilizado por los tribunales para decidir quién se hará cargo del menor. Los tribunales se fijan en ciertos factores como: la edad y salud del menor, los lazos emocionales entre el menor y sus padres, la capacidad de los padres para cuidar al menor, y los lazos que tiene el menor con su escuela, su hogar y la comunidad.",,,,,
carga de la prueba,Cuando una persona en el caso tiene la responsabilidad de presentar más pruebas que la otra persona.,,,,,
precedentes judiciales,Derecho creado a partir de las decisiones anteriores tomadas por los jueces en casos similares.,,,,,
número del caso,Número de identificación que el secretario del tribunal le da a un caso. Este número aparece en todos los documentos presentados en el caso. También se llama “identificación del caso”.,,,,,
cambio de jurisdicción,Cuando se transfiere un caso civil o penal de la jurisdicción de un tribunal a otra.,,,,,
maltrato de menor,"Causar daño a un menor en forma física, sexual o emocional.",,,,,
custodia de los hijos,Los derechos y las responsabilidades de los padres frente a su(s) hijo(s). Un plan de crianza tiene que indicar la custodia legal y custodia física que sean en el mejor interés de los menores. Este término también se usa con frecuencia para describir con quién viven los menores.,,,,,
descuido de menores,No cuidar bien a un menor. El descuido puede ser físico o emocional.,,,,,
