Word:,Definition:
abstract of judgment,Summary of the court's final decision.  This includes how much money either person owes or any specific orders from the judge.  This can be used to create a lien if you file it with the county recorder.
abstract of title,"A summary of ownership of a piece of real property that also includes related debts, such as mortgages, property taxes, or liens."
abuse of discretion,"A higher court may overturn a lower court's decision if it finds that its decision was entirely incorrect, illegal, or made without supporting evidence."
acceleration clause,A provision in a contract or promissory note that if some specified event (like not making payments on time) occurs then the entire amount is due.
accomplice,A person that helps someone else commit a crime. Can be on purpose or not.
accused,The person that is charged with a crime and has to go to criminal court.
acknowledge,"To say, swear, or affirm to a notary public, clerk, or other officer that a document with your signature was in fact signed by you."
acknowledged father,Person who is acknowledged to be the father of a child
acquittal,When a judge or jury finds that the person on trial is not guilty.
actionable,A situation with enough supporting facts to meet the requirements to file a legitimate lawsuit.
actual damages,Money awarded by the court to compensate a party for loss or injury.
ad litem,"""For this lawsuit."" Comes from Latin. A guardian ad litem, for example, is a person who represents another person's interests during a court case."
adhesion contract,A contract that is unfair and in favor of one party over the other. (contract of adhesion)
adjudicate,When a judge hears and decides a case.
adjudication,The judge's decision in a case or action.
admissible,A term used to describe evidence that may be considered by a jury or judge in civil and criminal cases.
admissible evidence,Evidence that the judge can legally allow to be used in court.
adopt,To become the legal parent to another person's child.
adoption,The way to make the relationship between a parent and child legal when they are not related by blood.
adoptive parent,"An adult who meets all the requirements to legally adopt a non-biological child, and who assumes all parental responsibilities for that child."
advance directive,A legal document that says what kinds of medical care you want if you become unable to speak for yourself and who you authorize to speak for you.
adversary system,"The system of trial practice in the United States and some other countries in which each of the opposing (or ""adversary"") parties has the opportunity to present and establish opposing positions before the court."
adverse witness,A person called to testify for the other side.
affidavit,"A written statement that someone swears to under oath in front of someone that is legally authorized, like a judge or notary public. Texas also allows for unsworn declarations under penalty of perjury in many situations."
affirmative defense,"When a defendant or person responding to a civil case has a reason that would make him or her ""not guilty"" or not at fault and gives the court new evidence to prove that. The defense has to prove what it says (called ""burden of proof""). The defense has to explain this defense in their answer."
age discrimination,"Treating an employee or employment applicant who is at least 40 years old, less favorably because of his or her age."
alibi,A defense claim that the accused was somewhere else at the time a crime was committed.
allegation,A statement or claim that is made and has not been proved to be true or false.
allege,"To say, declare, or charge that something is true even though it isn't proven yet."
alternate juror,A juror selected in the same manner as a regular juror who hears all the evidence but does not help decide the case unless called on to replace a regular juror.
alternative dispute resolution,Methods of resolving disputes without official court proceedings. These methods include mediation and arbitration.
amend,To add to or change a claim that has been filed in court.
amended petition,"An updated complaint, petition, or pleading that is filed to correct facts, add new claims, or change some other part of the original complaint."
amicus curiae,"Someone that gives advice to the court about the law in a case, but isn't part of the case. Comes from the Latin for ""friend of the court."""
annulment,"A legal action that says your marriage was never legally valid because of unsound mind, incest, bigamy, being too young to consent, fraud, force, or physical incapacity."
answer,An official response to claims made in a lawsuit.
appeal,"When someone that loses at least part of a case asks a higher court (called an ""appellate court"") to review the decision and say if it was right. "
appearance,A scheduled time when parties in a case or their attorneys are formally heard in court.
appellant,Someone that appeals a court's decision.
appellate,"Having to do with appeals.  An appellate court can review a lower court's (called a ""trial court"" or ""superior court"") decision."
appellate court,A court that can review how the law was used to decide a case in a lower court.
appellee,A person that answers an appeal in higher court.
