Word:,Definition:
a propósito de,Con respecto a
abogado de las cortes de los Estados Unidos,Un abogado nombrado por el Presidente en cada distrito judicial para procesar y defender casos para el gobierno federal.
abogado del caso,Asesoría legal. Un término también utilizado para referirse a los abogados en un caso.
abogado que consta,El abogado cuyo nombre aparece en un expediente del caso como representante de alguien en el caso.
absolución,Cuando un juez o jurado decide que la persona siendo juzgada no es culpable.
abuso de discreción,"Un tribunal superior puede revocar la decisión de un tribunal inferior si considera que su decisión fue completamente incorrecta, ilegal o hecha sin pruebas de apoyo."
accionante,"The person or group who starts a case against another person. In a civil case, the complainant is the plaintiff. In a criminal case, the complainant is the state."
acción civil,Un procedimiento legal en el que una persona (demandante) demanda a otro (demandado) que le ha causado daño o pérdida. El demandante solicita una indemnización del demandado por su pérdida.
acción por retención ilícita de inmueble,Una demanda presentada por un arrendador contra un arrendatario para desalojarle de una propiedad en alquiler normalmente por falta del pago de la renta.
acción,Una acción legal iniciada por un demandante contra un demandado basada en una queja de que el demandado no cumplió con un deber legal que resultó en daño al demandante.
acoso,Hostigar de manera repetida y obsesiva a alguien de manera alarmante o aterradora.
acreedor hipotecario,La persona o negocio que hace una hipoteca.
acreedor por fallo,Una persona o entidad que gana una demanda y como resultado la otra parte le debe dinero.
acreedor,Una persona a quien o una empresa al cual el deudor debe dinero o que reclama que el deudor le deba dinero.
acusación por gran jurado,El cargo formal decidido por un gran jurado que indica que hay suficiente evidencia de que el acusado cometió el crimen para justificar tener un juicio; Se utiliza principalmente para delitos graves.
acusado,La persona quien es acusada de un delito y tiene que comparecer ante la corte penal.
ad litem,Para esta demanda. Viene del latín. Un tutor ad litem es una persona especial designada por la corte que ayuda a otra persona durante un juicio.
